time,entity_id,event_type,event,resource
0,Customer0,arrival_departure,arrival,
0,Customer0,queue,queue_counter,
0,Customer0,resource_use,counter_use_start,counter
37.5264,Customer1,arrival_departure,arrival,
37.5264,Customer1,queue,queue_counter,
37.5264,Customer1,resource_use,counter_use_start,counter
39.1138,Customer0,resource_use_end,counter_use_end,counter
39.1138,Customer0,arrival_departure,depart,
41.2278,Customer2,arrival_departure,arrival,
41.2278,Customer2,queue,queue_counter,
41.2278,Customer2,resource_use,counter_use_start,counter
41.3265,Customer3,arrival_departure,arrival,
41.3265,Customer3,queue,queue_counter,
41.836,Customer1,resource_use_end,counter_use_end,counter
41.836,Customer1,arrival_departure,depart,
41.836,Customer3,resource_use,counter_use_start,counter
44.1427,Customer3,resource_use_end,counter_use_end,counter
44.1427,Customer3,arrival_departure,depart,
67.4677,Customer4,arrival_departure,arrival,
67.4677,Customer4,queue,queue_counter,
67.4677,Customer4,resource_use,counter_use_start,counter
73.2754,Customer5,arrival_departure,arrival,
73.2754,Customer5,queue,queue_counter,
74.5582,Customer2,resource_use_end,counter_use_end,counter
74.5582,Customer2,arrival_departure,depart,
74.5582,Customer5,resource_use,counter_use_start,counter
74.6247,Customer6,arrival_departure,arrival,
74.6247,Customer6,queue,queue_counter,
86.9859,Customer7,arrival_departure,arrival,
86.9859,Customer7,queue,queue_counter,
90.0252,Customer8,arrival_departure,arrival,
90.0252,Customer8,queue,queue_counter,
96.6461,Customer4,resource_use_end,counter_use_end,counter
96.6461,Customer4,arrival_departure,depart,
96.6461,Customer6,resource_use,counter_use_start,counter
102.596,Customer9,arrival_departure,arrival,
102.596,Customer9,queue,queue_counter,
103.342,Customer5,resource_use_end,counter_use_end,counter
103.342,Customer5,arrival_departure,depart,
103.342,Customer7,resource_use,counter_use_start,counter
103.806,Customer7,resource_use_end,counter_use_end,counter
103.806,Customer7,arrival_departure,depart,
103.806,Customer8,resource_use,counter_use_start,counter
114.002,Customer10,arrival_departure,arrival,
114.002,Customer10,queue,queue_counter,
121.685,Customer8,resource_use_end,counter_use_end,counter
121.685,Customer8,arrival_departure,depart,
121.685,Customer9,resource_use,counter_use_start,counter
142.203,Customer11,arrival_departure,arrival,
142.203,Customer11,queue,queue_counter,
151.927,Customer6,resource_use_end,counter_use_end,counter
151.927,Customer6,arrival_departure,depart,
151.927,Customer10,resource_use,counter_use_start,counter
166.145,Customer12,arrival_departure,arrival,
166.145,Customer12,queue,queue_counter,
191.025,Customer13,arrival_departure,arrival,
191.025,Customer13,queue,queue_counter,
195.292,Customer9,resource_use_end,counter_use_end,counter
195.292,Customer9,arrival_departure,depart,
195.292,Customer11,resource_use,counter_use_start,counter
197.895,Customer11,resource_use_end,counter_use_end,counter
197.895,Customer11,arrival_departure,depart,
197.895,Customer12,resource_use,counter_use_start,counter
210.071,Customer10,resource_use_end,counter_use_end,counter
210.071,Customer10,arrival_departure,depart,
210.071,Customer13,resource_use,counter_use_start,counter
214.179,Customer12,resource_use_end,counter_use_end,counter
214.179,Customer12,arrival_departure,depart,
236.812,Customer14,arrival_departure,arrival,
236.812,Customer14,queue,queue_counter,
236.812,Customer14,resource_use,counter_use_start,counter
250.468,Customer13,resource_use_end,counter_use_end,counter
250.468,Customer13,arrival_departure,depart,
263.072,Customer15,arrival_departure,arrival,
263.072,Customer15,queue,queue_counter,
263.072,Customer15,resource_use,counter_use_start,counter
263.548,Customer16,arrival_departure,arrival,
263.548,Customer16,queue,queue_counter,
265.936,Customer14,resource_use_end,counter_use_end,counter
265.936,Customer14,arrival_departure,depart,
265.936,Customer16,resource_use,counter_use_start,counter
276.702,Customer17,arrival_departure,arrival,
276.702,Customer17,queue,queue_counter,
276.921,Customer18,arrival_departure,arrival,
276.921,Customer18,queue,queue_counter,
282.989,Customer15,resource_use_end,counter_use_end,counter
282.989,Customer15,arrival_departure,depart,
282.989,Customer17,resource_use,counter_use_start,counter
298.472,Customer16,resource_use_end,counter_use_end,counter
298.472,Customer16,arrival_departure,depart,
298.472,Customer18,resource_use,counter_use_start,counter
304.447,Customer19,arrival_departure,arrival,
304.447,Customer19,queue,queue_counter,
311.509,Customer17,resource_use_end,counter_use_end,counter
311.509,Customer17,arrival_departure,depart,
311.509,Customer19,resource_use,counter_use_start,counter
312.238,Customer20,arrival_departure,arrival,
312.238,Customer20,queue,queue_counter,
312.87,Customer18,resource_use_end,counter_use_end,counter
312.87,Customer18,arrival_departure,depart,
312.87,Customer20,resource_use,counter_use_start,counter
314.559,Customer20,resource_use_end,counter_use_end,counter
314.559,Customer20,arrival_departure,depart,
342.182,Customer21,arrival_departure,arrival,
342.182,Customer21,queue,queue_counter,
342.182,Customer21,resource_use,counter_use_start,counter
346.052,Customer21,resource_use_end,counter_use_end,counter
346.052,Customer21,arrival_departure,depart,
353.108,Customer22,arrival_departure,arrival,
353.108,Customer22,queue,queue_counter,
353.108,Customer22,resource_use,counter_use_start,counter
358.861,Customer23,arrival_departure,arrival,
358.861,Customer23,queue,queue_counter,
365.344,Customer19,resource_use_end,counter_use_end,counter
365.344,Customer19,arrival_departure,depart,
365.344,Customer23,resource_use,counter_use_start,counter
368.831,Customer23,resource_use_end,counter_use_end,counter
368.831,Customer23,arrival_departure,depart,
372.967,Customer24,arrival_departure,arrival,
372.967,Customer24,queue,queue_counter,
372.967,Customer24,resource_use,counter_use_start,counter
373.098,Customer24,resource_use_end,counter_use_end,counter
373.098,Customer24,arrival_departure,depart,
376.622,Customer25,arrival_departure,arrival,
376.622,Customer25,queue,queue_counter,
376.622,Customer25,resource_use,counter_use_start,counter
391.805,Customer26,arrival_departure,arrival,
391.805,Customer26,queue,queue_counter,
391.865,Customer27,arrival_departure,arrival,
391.865,Customer27,queue,queue_counter,
394.899,Customer25,resource_use_end,counter_use_end,counter
394.899,Customer25,arrival_departure,depart,
394.899,Customer26,resource_use,counter_use_start,counter
397.178,Customer28,arrival_departure,arrival,
397.178,Customer28,queue,queue_counter,
