resource,time,server,queue,capacity,queue_size,system,limit,replication
counter,0,1,0,2,Inf,1,Inf,1
counter,37.526379074433386,2,0,2,Inf,2,Inf,1
counter,39.1138315184002,1,0,2,Inf,1,Inf,1
counter,41.22776232473323,2,0,2,Inf,2,Inf,1
counter,41.326491675915385,2,1,2,Inf,3,Inf,1
counter,41.83596316348206,2,0,2,Inf,2,Inf,1
counter,44.1426707581768,1,0,2,Inf,1,Inf,1
counter,67.46768302354101,2,0,2,Inf,2,Inf,1
counter,73.27542177704234,2,1,2,Inf,3,Inf,1
counter,74.55823562684772,2,0,2,Inf,2,Inf,1
counter,74.62466684472818,2,1,2,Inf,3,Inf,1
counter,86.98588956852831,2,2,2,Inf,4,Inf,1
counter,90.02515807611965,2,3,2,Inf,5,Inf,1
counter,96.64608145965867,2,2,2,Inf,4,Inf,1
counter,102.5957628645603,2,3,2,Inf,5,Inf,1
counter,103.34238431825207,2,2,2,Inf,4,Inf,1
counter,103.80572756229805,2,1,2,Inf,3,Inf,1
counter,114.00221737305432,2,2,2,Inf,4,Inf,1
counter,121.68459548939656,2,1,2,Inf,3,Inf,1
counter,142.2033675488407,2,2,2,Inf,4,Inf,1
counter,151.926913099587,2,1,2,Inf,3,Inf,1
counter,166.14494881307107,2,2,2,Inf,4,Inf,1
counter,191.02488457744974,2,3,2,Inf,5,Inf,1
counter,195.2919384257467,2,2,2,Inf,4,Inf,1
counter,197.89498290769473,2,1,2,Inf,3,Inf,1
counter,210.0709928410421,2,0,2,Inf,2,Inf,1
counter,214.178548610634,1,0,2,Inf,1,Inf,1
counter,236.81175607524247,2,0,2,Inf,2,Inf,1
counter,250.46829069110305,1,0,2,Inf,1,Inf,1
counter,263.07195807769017,2,0,2,Inf,2,Inf,1
counter,263.54784101208156,2,1,2,Inf,3,Inf,1
counter,265.93586708518643,2,0,2,Inf,2,Inf,1
counter,276.70224962937175,2,1,2,Inf,3,Inf,1
counter,276.92145573156415,2,2,2,Inf,4,Inf,1
counter,282.98945563723186,2,1,2,Inf,3,Inf,1
counter,298.4716694329543,2,0,2,Inf,2,Inf,1
counter,304.4474161421803,2,1,2,Inf,3,Inf,1
counter,311.50928518444687,2,0,2,Inf,2,Inf,1
counter,312.23753520575514,2,1,2,Inf,3,Inf,1
counter,312.87031395765746,2,0,2,Inf,2,Inf,1
counter,314.5590667332348,1,0,2,Inf,1,Inf,1
counter,342.18171513801303,2,0,2,Inf,2,Inf,1
counter,346.0516421153385,1,0,2,Inf,1,Inf,1
counter,353.1075119656156,2,0,2,Inf,2,Inf,1
counter,358.8606362405578,2,1,2,Inf,3,Inf,1
counter,365.34420917199714,2,0,2,Inf,2,Inf,1
counter,368.8313730430385,1,0,2,Inf,1,Inf,1
counter,372.9673023736667,2,0,2,Inf,2,Inf,1
counter,373.0975092044663,1,0,2,Inf,1,Inf,1
counter,376.62187831761355,2,0,2,Inf,2,Inf,1
counter,391.8052965704201,2,1,2,Inf,3,Inf,1
counter,391.8652207589558,2,2,2,Inf,4,Inf,1
counter,394.89941823122916,2,1,2,Inf,3,Inf,1
counter,397.17805657757805,2,2,2,Inf,4,Inf,1
